bin_id,theta_hat,mean_gain_pct_vs0,n_days,flatness_pm2_pct
clear,14,1.7874100739796277,225,0.0488094299286554
cloudy,16,0.1831282154033271,8,0.006979629769169
mostly_clear,14,1.556429434439846,84,0.0270717606362231
partly_cloudy,8,0.333325069495732,49,0.0417994734282513
