season,clear,cloudy,mostly_clear,partly_cloudy
DJF (summer),45.0,0.0,37.0,9.0
MAM (autumn),63.0,2.0,21.0,6.0
JJA (winter),83.0,0.0,3.0,6.0
SON (spring),62.0,3.0,22.0,4.0
