site,bin_id,n_days,deg,mean_E_kWh,std_E_kWh,mean_gain_pct_vs0,is_winner,theta_hat,flatness_pm2_pct
NC,clear,253,-24,1.3801211579472803,0.3255836082119315,-9.584553456554808,0,14,1.3635929783784047
NC,clear,253,-22,1.39351293133082,0.32783097365626523,-8.700522996691909,0,14,1.3635929783784047
NC,clear,253,-20,1.4068165459289683,0.32991048934209494,-7.818925578192826,0,14,1.3635929783784047
NC,clear,253,-18,1.42047874521057,0.3315492808492289,-6.903703815903773,0,14,1.3635929783784047
NC,clear,253,-16,1.4339970965000746,0.3327543308805929,-5.990359587917418,0,14,1.3635929783784047
NC,clear,253,-14,1.4672589602612183,0.339582457332725,-5.127566386356528,0,14,1.3635929783784047
NC,clear,253,-12,1.479752509950574,0.3409238873427736,-4.297820129679843,0,14,1.3635929783784047
NC,clear,253,-10,1.4917884376102424,0.34238347503517585,-3.501169807481897,0,14,1.3635929783784047
NC,clear,253,-8,1.5036954839527936,0.3442733068579015,-2.7203294873303636,0,14,1.3635929783784047
NC,clear,253,-6,1.5156046977928432,0.34653016899930017,-1.9470650988597522,0,14,1.3635929783784047
NC,clear,253,-4,1.5270471310601719,0.34895296189989233,-1.2093061686075888,0,14,1.3635929783784047
NC,clear,253,-2,1.5371579237583115,0.3512145767205631,-0.5591024054726412,0,14,1.3635929783784047
NC,clear,253,0,1.5458730803087224,0.353257967699283,0.0,0,14,1.3635929783784047
NC,clear,253,2,1.5530897811221505,0.3550694494978824,0.4614962113001618,0,14,1.3635929783784047
NC,clear,253,4,1.5591132688331355,0.3566729832776187,0.8453955711790284,0,14,1.3635929783784047
NC,clear,253,6,1.5639577335310693,0.35804815854599986,1.1528189614750262,0,14,1.3635929783784047
NC,clear,253,8,1.5677060600918407,0.3591849505790637,1.3897850869997563,0,14,1.3635929783784047
NC,clear,253,10,1.5704336835247896,0.36007063694022806,1.561499728882888,0,14,1.3635929783784047
NC,clear,253,12,1.572231402476822,0.3606962631724095,1.674303926027941,0,14,1.3635929783784047
NC,clear,253,14,1.5732439151875626,0.3610636251528032,1.738312406680292,1,14,1.3635929783784047
NC,clear,253,16,1.5517912716272995,0.35512046866562613,1.76969421075156,0,14,1.3635929783784047
NC,clear,253,18,1.5513728377896123,0.3551512003611507,1.7411589969738837,0,14,1.3635929783784047
NC,clear,253,20,1.550266384712528,0.3550896836654978,1.6663754173621335,0,14,1.3635929783784047
NC,clear,253,22,1.5484089448507847,0.3549444089725973,1.5410173046431044,0,14,1.3635929783784047
NC,clear,253,24,1.54578159151963,0.3546986909087907,1.3639587498873469,0,14,1.3635929783784047
NC,cloudy,5,-24,1.2852711040109936,0.30807147101415017,-8.709110854034348,0,16,0.03937775455006794
NC,cloudy,5,-22,1.2957343007169388,0.3124999558224851,-7.992092733103964,0,16,0.03937775455006794
NC,cloudy,5,-20,1.3060957366939525,0.3176150802733896,-7.290917640850168,0,16,0.03937775455006794
NC,cloudy,5,-18,1.3157562687257613,0.3227455766257238,-6.641520831967088,0,16,0.03937775455006794
NC,cloudy,5,-16,1.324621485580381,0.32772474579138205,-6.048855249333924,0,16,0.03937775455006794
NC,cloudy,5,-14,1.3329934859048216,0.3322899863623812,-5.487967162539375,0,16,0.03937775455006794
NC,cloudy,5,-12,1.3424857278099034,0.33471110756993194,-4.810183829720436,0,16,0.03937775455006794
NC,cloudy,5,-10,1.3539466310177701,0.33575127614988864,-3.967734477647737,0,16,0.03937775455006794
NC,cloudy,5,-8,1.3669927879181443,0.33736289330695496,-3.0223416646293466,0,16,0.03937775455006794
NC,cloudy,5,-6,1.3790780164327117,0.33879571149111215,-2.145847129610069,0,16,0.03937775455006794
NC,cloudy,5,-4,1.3901066992211042,0.3399675044537719,-1.3440015490864163,0,16,0.03937775455006794
NC,cloudy,5,-2,1.3999449723655935,0.3409506775205805,-0.6274733314143561,0,16,0.03937775455006794
NC,cloudy,5,0,1.4085293875814069,0.3416644306149494,0.0,0,16,0.03937775455006794
NC,cloudy,5,2,1.4158020429413192,0.34212979580612624,0.5329633691895383,0,16,0.03937775455006794
NC,cloudy,5,4,1.4219007919674194,0.34249755003765653,0.9798866135893819,0,16,0.03937775455006794
NC,cloudy,5,6,1.4270454333042728,0.342581344708843,1.3603929346695423,0,16,0.03937775455006794
NC,cloudy,5,8,1.431262461564895,0.34232713740980686,1.6773671477536993,0,16,0.03937775455006794
NC,cloudy,5,10,1.4344463635141333,0.3419594872395511,1.9200310816696973,0,16,0.03937775455006794
NC,cloudy,5,12,1.4365264717751653,0.34124633065893967,2.086079105254302,0,16,0.03937775455006794
NC,cloudy,5,14,1.4377700664648285,0.34044260323190584,2.1917609615086695,0,16,0.03937775455006794
NC,cloudy,5,16,1.438336451062132,0.3394186828096754,2.2500450309257336,1,16,0.03937775455006794
NC,cloudy,5,18,1.4382146261741044,0.338098775431915,2.2609449465604765,0,16,0.03937775455006794
NC,cloudy,5,20,1.4378788880730107,0.3365728097276759,2.259712244159374,0,16,0.03937775455006794
NC,cloudy,5,22,1.4373431620780248,0.3347948501876502,2.247312263813331,0,16,0.03937775455006794
NC,cloudy,5,24,1.4363849522829732,0.3330052148753658,2.203925529203809,0,16,0.03937775455006794
NC,mostly_clear,83,-24,1.4757481907021788,0.2970993085399873,-7.271511434633015,0,12,0.03502936778771595
NC,mostly_clear,83,-22,1.486983923769111,0.30040613427951124,-6.590694728150079,0,12,0.03502936778771595
NC,mostly_clear,83,-20,1.497942565197367,0.30354668704956733,-5.924652813379402,0,12,0.03502936778771595
NC,mostly_clear,83,-18,1.5085984669286683,0.30666516388582005,-5.277567591400239,0,12,0.03502936778771595
NC,mostly_clear,83,-16,1.5190301838656917,0.30937165648590326,-4.638097143884032,0,12,0.03502936778771595
NC,mostly_clear,83,-14,1.5288278570237155,0.31174160952870267,-4.035539006900853,0,12,0.03502936778771595
NC,mostly_clear,83,-12,1.538781552150275,0.31457695022159193,-3.429388527681984,0,12,0.03502936778771595
NC,mostly_clear,83,-10,1.5494018551988746,0.3177736174905364,-2.786108460538503,0,12,0.03502936778771595
NC,mostly_clear,83,-8,1.5602109995846571,0.3209976728007265,-2.13256833305809,0,12,0.03502936778771595
NC,mostly_clear,83,-6,1.5706919639545587,0.3242708141882696,-1.5007604014912153,0,12,0.03502936778771595
NC,mostly_clear,83,-4,1.5803068712083643,0.3273126096303223,-0.922338897188496,0,12,0.03502936778771595
NC,mostly_clear,83,-2,1.588701230985186,0.330140744493631,-0.4200495471888584,0,12,0.03502936778771595
NC,mostly_clear,83,0,1.5957756267603447,0.33271991632233355,0.0,0,12,0.03502936778771595
NC,mostly_clear,83,2,1.601656047782247,0.33501185976443704,0.3471590996532824,0,12,0.03502936778771595
NC,mostly_clear,83,4,1.6064234296590154,0.33700967442397683,0.6265188414104479,0,12,0.03502936778771595
NC,mostly_clear,83,6,1.6100572474373993,0.3387424533131423,0.8357872904582533,0,12,0.03502936778771595
NC,mostly_clear,83,8,1.6125891448043843,0.34019161970322065,0.9776913842746259,0,12,0.03502936778771595
NC,mostly_clear,83,10,1.6141064124694682,0.34133332015676005,1.0581926671712083,0,12,0.03502936778771595
NC,mostly_clear,83,12,1.6146720218705746,0.34222280978741726,1.0804238346485793,1,12,0.03502936778771595
NC,mostly_clear,83,14,1.6144068990383642,0.3429668551472923,1.0506806608515558,0,12,0.03502936778771595
NC,mostly_clear,83,16,1.613539409899243,0.34359602370950326,0.9835312190420379,0,12,0.03502936778771595
NC,mostly_clear,83,18,1.6119904986152336,0.34392802431175434,0.8765408867649196,0,12,0.03502936778771595
NC,mostly_clear,83,20,1.6097599576705017,0.34410550177084587,0.7272780451793126,0,12,0.03502936778771595
NC,mostly_clear,83,22,1.606926756159513,0.3440409359381103,0.542015751179761,0,12,0.03502936778771595
NC,mostly_clear,83,24,1.6035442900103627,0.3437602169626119,0.32458382486565196,0,12,0.03502936778771595
NC,partly_cloudy,25,-24,1.1927594225562097,0.4085461777078324,-7.504230828519465,0,14,0.03589579394797556
NC,partly_cloudy,25,-22,1.2017429749399178,0.4123231963355418,-6.854387983173976,0,14,0.03589579394797556
NC,partly_cloudy,25,-20,1.2105147423259066,0.4157285762003544,-6.213012232104328,0,14,0.03589579394797556
NC,partly_cloudy,25,-18,1.2191761400423125,0.4185344608548762,-5.564027506978857,0,14,0.03589579394797556
NC,partly_cloudy,25,-16,1.2277109464117941,0.4209975627327799,-4.919487628026983,0,14,0.03589579394797556
NC,partly_cloudy,25,-14,1.235843569146773,0.42344267299265165,-4.310178814433516,0,14,0.03589579394797556
NC,partly_cloudy,25,-12,1.243909942859335,0.42625683528078784,-3.7142947968219198,0,14,0.03589579394797556
NC,partly_cloudy,25,-10,1.2536532043078488,0.43059667030124216,-3.0162462615227628,0,14,0.03589579394797556
NC,partly_cloudy,25,-8,1.263924127079893,0.4355854222107879,-2.2845576278479967,0,14,0.03589579394797556
NC,partly_cloudy,25,-6,1.2737594473419556,0.44080234745042096,-1.5950840357948164,0,14,0.03589579394797556
NC,partly_cloudy,25,-4,1.2826017001274408,0.44567031266017165,-0.9809346255038106,0,14,0.03589579394797556
