season,clear,mostly_clear,partly_cloudy,cloudy
DJF (summer),49.5,40.7,9.9,0.0
MAM (autumn),68.5,22.8,6.5,2.2
JJA (winter),90.2,3.3,6.5,0.0
SON (spring),68.1,24.2,4.4,3.3
