season,top_bin,top_count,total_days,pct
DJF (summer),clear,45,91,49.45054945054945
JJA (winter),clear,83,92,90.21739130434783
MAM (autumn),clear,63,92,68.47826086956522
SON (spring),clear,62,91,68.13186813186813
