month,month_name,clear,mostly_clear,partly_cloudy,cloudy
1,January,83.9,12.9,3.2,0.0
2,February,69.0,27.6,3.4,0.0
3,March,71.0,22.6,3.2,3.2
4,April,60.0,26.7,10.0,3.3
5,May,67.7,19.4,12.9,0.0
6,June,53.3,23.3,20.0,3.3
7,July,22.6,29.0,45.2,3.2
8,August,45.2,32.3,19.4,3.2
9,September,60.0,16.7,20.0,3.3
10,October,74.2,12.9,9.7,3.2
11,November,63.3,26.7,10.0,0.0
12,December,67.7,25.8,3.2,3.2
