site,bin_id,theta_hat,mean_gain_pct_vs0,n_days,flatness_pm2_pct
NC,clear,14,1.738312406680292,253,1.3635929783784049
WC,clear,14,1.7874100739796277,225,0.0488094299286554
NC,cloudy,16,2.2500450309257336,5,0.0393777545500679
WC,cloudy,16,0.1831282154033271,8,0.006979629769169
NC,mostly_clear,12,1.0804238346485793,83,0.0350293677877159
WC,mostly_clear,14,1.556429434439846,84,0.0270717606362231
NC,partly_cloudy,14,1.2734978604018328,25,0.0358957939479755
WC,partly_cloudy,8,0.333325069495732,49,0.0417994734282513
