month,month_name,clear,cloudy,mostly_clear,partly_cloudy
1,January,26.0,0.0,4.0,1.0
2,February,20.0,0.0,8.0,1.0
3,March,22.0,1.0,7.0,1.0
4,April,18.0,1.0,8.0,3.0
5,May,21.0,0.0,6.0,4.0
6,June,16.0,1.0,7.0,6.0
7,July,7.0,1.0,9.0,14.0
8,August,14.0,1.0,10.0,6.0
9,September,18.0,1.0,5.0,6.0
10,October,23.0,1.0,4.0,3.0
11,November,19.0,0.0,8.0,3.0
12,December,21.0,1.0,8.0,1.0
