season,clear,mostly_clear,partly_cloudy,cloudy,Total
DJF (summer),83.3%,13.3%,3.3%,0.0%,100.0%
MAM (autumn),54.3%,26.1%,16.3%,3.3%,100.0%
JJA (winter),39.1%,30.4%,25.0%,5.4%,100.0%
SON (spring),52.7%,29.7%,14.3%,3.3%,100.0%
