site,bin_id,n_days,deg,mean_E_kWh,std_E_kWh,mean_gain_pct_vs0,is_winner,theta_hat,flatness_pm2_pct
WC,clear,225,-24,1.5576078925423595,0.41808379591125183,-9.759780420592223,0,14,0.04880942992865549
WC,clear,225,-22,1.5719420823854382,0.421062803266906,-8.917052377057841,0,14,0.04880942992865549
WC,clear,225,-20,1.5867727327764398,0.4246951908157202,-8.052335608141284,0,14,0.04880942992865549
WC,clear,225,-18,1.6014679122166784,0.42797564219674245,-7.187949429544777,0,14,0.04880942992865549
WC,clear,225,-16,1.616315596349917,0.4303893066052004,-6.293668072565745,0,14,0.04880942992865549
WC,clear,225,-14,1.631464734990732,0.432472545705859,-5.3738681579306835,0,14,0.04880942992865549
WC,clear,225,-12,1.6462205346885026,0.43463860864969794,-4.482411092092358,0,14,0.04880942992865549
WC,clear,225,-10,1.6604134270211823,0.43678866803590344,-3.628275664054013,0,14,0.04880942992865549
WC,clear,225,-8,1.6741873969180057,0.4389354678657932,-2.802646939147144,0,14,0.04880942992865549
WC,clear,225,-6,1.6876569787744198,0.4410378409860315,-1.997587659637622,0,14,0.04880942992865549
WC,clear,225,-4,1.7002428029217094,0.4428449073169823,-1.2429551738326106,0,14,0.04880942992865549
WC,clear,225,-2,1.711345903992266,0.44436105729756553,-0.5754490231082835,0,14,0.04880942992865549
WC,clear,225,0,1.7208935699493462,0.44560437804365804,0.0,0,14,0.04880942992865549
WC,clear,225,2,1.7286839761292272,0.44655796683767873,0.47066968406131654,0,14,0.04880942992865549
WC,clear,225,4,1.7351187468784115,0.447221501093489,0.8622494348694791,0,14,0.04880942992865549
WC,clear,225,6,1.7402887327495227,0.4476200866844844,1.1797487498152501,0,14,0.04880942992865549
WC,clear,225,8,1.744245187030699,0.44778656570103625,1.4255604566782236,0,14,0.04880942992865549
WC,clear,225,10,1.7470424760355923,0.4477304936168142,1.6028117133955988,0,14,0.04880942992865549
WC,clear,225,12,1.7488571906222528,0.4474419214718738,1.7234178212973112,0,14,0.04880942992865549
WC,clear,225,14,1.7497112146915414,0.4469693972382153,1.7874100739796277,1,14,0.04880942992865549
WC,clear,225,16,1.7495948077706032,0.44631001131096226,1.7941228673684502,0,14,0.04880942992865549
WC,clear,225,18,1.7486166225055617,0.4454955112275358,1.7498255083027716,0,14,0.04880942992865549
WC,clear,225,20,1.746997684337517,0.44446586593650195,1.6693854552555056,0,14,0.04880942992865549
WC,clear,225,22,1.7446866737198767,0.44319209834930845,1.549595650581139,0,14,0.04880942992865549
WC,clear,225,24,1.7417806520847352,0.4417770563680252,1.394836623143725,0,14,0.04880942992865549
WC,cloudy,8,-24,0.4840484831280897,0.1922324259544379,-0.45588576224781907,0,16,0.006979629769169067
