site,E0_year_kWh,E_policyB4_year_kWh,E_idealBin_year_kWh,gain_policyB4_pct,gain_idealBin_pct
NC,21.47219457960087,21.622854372596244,21.782525333923516,0.7016506507374151,1.4452679868012548
WC,16.16687685129779,16.339526626244048,16.380606341895323,1.0679228680609312,1.322020898429594
