offset_deg,e_day_Wh
-24,715.1045082939411
-22,723.718633633481
-20,732.4045546766622
-18,741.0701895757875
-16,749.1278238379516
-14,756.5713264705398
-12,763.3953085697697
-10,769.5950785227849
-8,775.1666032353494
-6,780.1064740728286
-4,784.411876630033
-2,788.1252572989094
0,791.1503374379831
2,793.7921722597819
4,795.8744792591045
6,797.3967369938234
8,798.3588992028639
10,798.7613812239119
12,798.7343987005527
14,798.6992089180557
16,798.1454513592205
18,797.5181547656241
20,797.0549573806209
22,796.2006111861297
24,794.957046752412
