offset_deg,e_day_Wh
-24,1549.5443741000504
-22,1565.8426585266266
-20,1580.9497867085274
-18,1594.8737827216949
-16,1607.6230234134755
-14,1619.2060917318784
-12,1629.631639606629
-10,1638.9082605028393
-8,1659.6736277541245
-6,1687.203807591039
-4,1712.6192442129309
-2,1735.8786849941635
0,1756.9592575506717
2,1775.8497433139855
4,1792.9422606222793
6,1808.2929028127228
8,1821.716708546449
10,1833.2249628992827
12,1842.832241212592
14,1850.745263466449
16,1856.0190726802612
18,1859.5268267715228
20,1863.7170202893772
22,1866.6340021589406
24,1868.302414384214
