offset_deg,e_day_Wh
-24,1823.9405705439806
-22,1844.0892717020201
-20,1862.8578671916887
-18,1880.2654750297834
-16,1897.224620794457
-14,1912.9130882331049
-12,1927.1805553534093
-10,1940.1810008811726
-8,1952.2582638437864
-6,1962.8554148866835
-4,1971.992767448433
-2,1979.842311212915
0,1986.17848376001
2,1990.6212316302604
4,1994.0328438385013
6,1996.5324008220912
8,1997.763840184985
10,1997.9392446082259
12,1997.2401994684676
14,1995.4190814046183
16,1992.7767763868537
18,1989.672772654294
20,1985.549203977343
22,1980.4016114670321
24,1975.4842612829143
