offset_deg,e_day_Wh
-24,1111.0360439110175
-22,1120.506231338465
-20,1129.2042719513797
-18,1137.1381627564965
-16,1144.3157103299973
-14,1151.6274727085558
-12,1164.600518015151
-10,1181.5952485339271
-8,1197.3853736788678
-6,1212.0161077144685
-4,1225.6524438903034
-2,1237.9463736277858
0,1248.8962568344596
2,1257.9133196441353
4,1265.8116318125703
6,1272.6460361821821
8,1278.6413428068472
10,1283.6650011139295
12,1287.7227891242692
14,1291.2069853655053
16,1294.1644397526532
18,1296.2836024092164
20,1297.5731595217487
22,1298.0422106621552
24,1298.098569159128
