offset_deg,e_day_Wh
-24,1057.9988884232196
-22,1067.175632159615
-20,1075.613155946779
-18,1083.3164355015708
-16,1090.2856651245754
-14,1096.523291620504
-12,1104.645301704906
-10,1125.2264243643258
-8,1144.5920068869286
-6,1163.0217542823782
-4,1179.9971824618817
-2,1195.5037975743396
0,1209.532700210334
2,1221.4898812614192
4,1232.1712843843331
6,1241.5771672531826
8,1249.975827055699
10,1257.3904822528307
12,1263.9708487837386
14,1269.932175278864
16,1274.898683360418
18,1278.8825844463368
20,1281.8973690988344
22,1283.9576447458162
24,1285.0789850168505
