offset_deg,e_day_Wh
-24,750.116669837051
-22,759.9540251392923
-20,769.7196773486526
-18,778.941775369336
-16,787.6118444820311
-14,795.7228624494799
-12,803.2690207603091
-10,810.3792783047966
-8,817.2559260561269
-6,823.4635511888173
-4,828.940664225271
-2,833.685504746303
0,837.696981128672
2,841.0750742299265
4,843.8544626951065
6,846.0355299281765
8,847.6191093363426
10,848.6064860442992
12,848.9993769505448
14,849.7951920171135
16,850.4219402787489
18,850.5846453833617
20,850.2857388519737
22,849.5279390500775
24,848.314234583893
