offset_deg,e_day_Wh
-24,1472.8256157755113
-22,1487.942190545415
-20,1501.9677344704523
-18,1514.9014945990925
-16,1526.7433851925125
-14,1537.5026620882227
-12,1547.169585093097
-10,1556.4519902518032
-8,1568.0216478891455
-6,1587.495022261159
-4,1605.718821447343
-2,1622.2673751118261
0,1637.11382467274
2,1650.5917367507805
4,1662.5145261198907
6,1673.3193836230373
8,1682.8506781407
10,1690.921438514722
12,1697.5308078084104
14,1702.6798328256061
16,1706.9368851372055
18,1710.4314637411012
20,1712.9241080849145
22,1714.2120287356288
24,1714.5457269224576
