offset_deg,e_day_Wh
-24,1118.0214952152205
-22,1130.0863647562992
-20,1141.3407023519771
-18,1151.7494054081812
-16,1161.5279219628326
-14,1171.3690344136817
-12,1180.2258874893414
-10,1192.2081949537176
-8,1212.2108794728288
-6,1231.1063227653904
-4,1248.8991470346346
-2,1265.2383243067575
0,1280.1058188599277
2,1293.727833549419
4,1305.9134706997488
6,1316.8786425918997
8,1326.604896040576
10,1335.0623193680833
12,1341.6098162941921
14,1347.3429999155728
16,1352.1213872522753
18,1355.9495866396078
20,1358.8335797341756
22,1360.7805999098275
24,1363.0808640340872
