offset_deg,e_day_Wh
-24,1794.1567464811224
-22,1810.2572138623582
-20,1825.1510840600938
-18,1838.8545837852946
-16,1851.4814090772402
-14,1865.1158533704383
-12,1877.3314577480915
-10,1894.465212846697
-8,1916.8729881447168
-6,1937.5343353545152
-4,1956.4290569980203
-2,1973.5460667448929
0,1988.8797855960102
2,2002.5386753170944
4,2014.547274491479
6,2024.8951519869902
8,2033.5842369702527
10,2040.617066341218
12,2045.9964828201169
14,2049.7509201267703
16,2053.626036718829
18,2055.3656410497497
20,2056.0443705289726
22,2055.5792468309296
24,2053.9727593650005
