offset_deg,e_day_Wh
-24,1468.5357861644304
-22,1476.340803858908
-20,1488.9769741104594
-18,1505.6400078581514
-16,1521.384939520925
-14,1536.072878327201
-12,1549.610033852982
-10,1562.4929757889904
-8,1574.1818152390126
-6,1584.6705083236818
-4,1593.9736550921834
-2,1602.1358808700074
0,1609.1394686756446
2,1614.589383513014
4,1619.347413645029
6,1623.0729198975919
8,1625.9928116925948
10,1628.0395022605317
12,1629.181378210788
14,1629.5107799399018
16,1629.6799024154268
18,1629.30939344185
20,1628.2428645899568
22,1627.2121695492774
24,1625.489559298229
