offset_deg,e_day_Wh
-24,1211.4034472808341
-22,1231.1663069486797
-20,1249.7374313527519
-18,1267.1223484001075
-16,1283.3293948006385
-14,1298.3690474480402
-12,1312.2534169868125
-10,1325.2015347222446
-8,1337.6281482904817
-6,1348.9635234269258
-4,1358.986324132696
-2,1367.7127996106535
0,1375.1587715324795
2,1381.3366365709967
4,1386.4647891042869
6,1390.5560783921273
8,1393.6226298490146
10,1395.6758001099638
12,1396.7260923668396
14,1397.3299324460306
16,1398.0164753719382
18,1397.9622765177255
20,1397.1763370030835
22,1395.6668176703251
24,1393.441003988222
