offset_deg,e_day_Wh
-24,1350.2785478627936
-22,1366.7994713038306
-20,1383.0386587424446
-18,1398.593596343832
-16,1413.0469366625416
-14,1427.277652637974
-12,1440.3185919649504
-10,1452.1290239965606
-8,1462.713439783845
-6,1472.076960924498
-4,1480.2251838245934
-2,1487.2257935314824
0,1493.0311610288888
2,1497.3896737914908
4,1500.6199849496334
6,1502.7636650604925
8,1504.3812281504563
10,1504.9820931645845
12,1505.1446880264775
14,1504.5601856292787
16,1503.1319858762376
18,1500.8664396867698
20,1497.7699394225756
22,1494.1916134364717
24,1490.7821234610929
