offset_deg,e_day_Wh
-24,1875.3301085631847
-22,1898.0883903230033
-20,1920.2363949387252
-18,1940.832645013088
-16,1959.88473533484
-14,1977.40151652941
-12,1993.3926857608408
-10,2007.8684548312178
-8,2020.8834692102623
-6,2033.4934474828042
-4,2044.3796763354007
-2,2053.4722866650195
0,2060.7802511499303
2,2066.08898402902
4,2069.8568165730267
6,2072.0891757590016
8,2072.85040474753
10,2073.2599143245325
12,2072.4674284711464
14,2070.4469379127645
16,2067.2009833492602
18,2062.7314145268347
20,2057.039393138575
22,2050.602585377415
24,2045.890010672566
