offset_deg,e_day_Wh
-24,1985.6538292454377
-22,2001.3909431923619
-20,2017.186571087622
-18,2033.0405370324743
-16,2047.6038660853237
-14,2060.75161009093
-12,2072.493781281766
-10,2087.383020994079
-8,2106.800897684677
-6,2124.962678834739
-4,2141.6506830803546
-2,2156.4226843383353
0,2169.226659072463
2,2180.026185124087
4,2189.3028170531825
6,2196.9732829855884
8,2203.045602327781
10,2207.4530247066564
12,2210.3655123063786
14,2212.2721684024964
16,2213.6362463116716
18,2213.623328487013
20,2211.402283565559
22,2207.8728918764
24,2203.11177854082
