offset_deg,e_day_Wh
-24,1480.3074654346465
-22,1488.540960049469
-20,1495.960792384829
-18,1502.58070969709
-16,1516.9533630732672
-14,1531.5224837127207
-12,1545.0613114606374
-10,1558.022351150627
-8,1569.7019103363784
-6,1580.10497825605
-4,1589.2375127862833
-2,1597.1408204940699
0,1603.7854261533764
2,1609.0169033971808
4,1613.1543273023215
6,1616.2164169303492
8,1618.3280643024032
10,1619.4049234811232
12,1619.4518399447231
14,1618.5872521923316
16,1617.5432559193962
18,1615.5470096819683
20,1613.4099618122195
22,1610.9938833891918
24,1607.7854518091467
