offset_deg,e_day_Wh
-24,1639.6028746295
-22,1652.1827944637516
-20,1664.8509858318425
-18,1677.9037614811373
-16,1689.8998851154165
-14,1700.729999837933
-12,1710.4028423695
-10,1718.92686936222
-8,1733.1081212663655
-6,1753.9431636471932
-4,1773.4770924949303
-2,1791.1830101844184
0,1807.0377324607641
2,1821.1573821783738
4,1833.904536947395
6,1844.9648470545283
8,1854.3371181493583
10,1862.0226195344635
12,1868.024554806024
14,1873.3086015570275
16,1878.080955765607
18,1881.4223125826197
20,1882.8165541948738
22,1882.2844174201803
24,1880.5220544094987
