measured_on,ac_power__5074,ambient_temp__5042,dc_current__5076,dc_power__5077,dc_voltage__5075,kwh_gross__5045,kwh_net__5046,module_temp__5043,poa_irradiance__5041,pr__5047,system_id
2017-02-12 00:00:00,0.0,-0.694666,-0.773333,-77.33329999999998,50.0,0.0,0.0,-1.2522,5.193066,0.0,1430
2017-02-12 00:15:00,0.0,-0.778533,-0.773333,-78.364409635556,50.666666,0.0,0.0,-1.359,5.264,0.0,1430
2017-02-12 00:30:00,0.0,-0.8708,-0.7666659999999998,-76.3599336,49.8,0.0,0.0,-1.510466,5.274266,0.0,1430
2017-02-12 00:45:00,0.0,-0.941133,-0.7866659999999999,-76.7786016,48.8,0.0,0.0,-1.519333,5.305066,0.0,1430
2017-02-12 01:00:00,0.0,-0.952533,-0.793333,-74.15019053777799,46.733333,0.0,0.0,-1.561866,5.305066,0.0,1430
2017-02-12 01:15:00,0.0,-0.999933,-0.8133329999999999,-76.88707851555601,47.266666,0.0,0.0,-1.577666,5.289666,0.0,1430
2017-02-12 01:30:00,0.0,-1.0508,-0.8133329999999999,-77.971523057778,47.933333,0.0,0.0,-1.515666,5.320466,0.0,1430
2017-02-12 01:45:00,0.0,-1.0256,-0.8066659999999999,-73.137716795556,45.333333,0.0,0.0,-1.4974,5.335866,0.0,1430
2017-02-12 02:00:00,0.0,-1.274666,-0.82,-76.20533224,46.466666,0.0,0.0,-1.566533,5.341,0.0,1430
2017-02-12 02:15:00,0.0,-1.528333,-0.8,-73.70666559999998,46.066666,0.0,0.0,-1.759066,5.346066,0.0,1430
2017-02-12 02:30:00,0.0,-1.634066,-0.8,-73.3866656,45.866666,0.0,0.0,-1.946666,5.411933,0.0,1430
2017-02-12 02:45:00,0.0,-1.699533,-0.82,-72.15999999999998,44.0,0.0,-1.0,-2.002133,5.411933,,1430
2017-02-12 03:00:00,0.0,-1.8278,-0.846666,-74.95816207111201,44.266666,0.0,0.0,-2.1214,5.467666,0.0,1430
2017-02-12 03:15:00,0.0,-1.989,-0.826666,-71.864829831112,43.466666,0.0,0.0,-2.307466,5.558866,0.0,1430
2017-02-12 03:30:00,0.0,-2.078,-0.8,-71.2,44.5,0.0,0.0,-2.36,5.569,0.0,1430
2017-02-12 03:45:00,0.0,-2.118466,-0.8133329999999999,-69.946638,43.0,0.0,0.0,-2.447133,5.579266,0.0,1430
2017-02-12 04:00:00,0.0,-2.106333,-0.826666,-69.880831431112,42.266666,0.0,0.0,-2.5166,5.574133,0.0,1430
2017-02-12 04:15:00,0.0,-2.165733,-0.8066659999999999,-66.039055995556,40.933333,0.0,0.0,-2.542933,5.574133,0.0,1430
2017-02-12 04:30:00,0.0,-2.12,-0.853333,-69.6319728,40.8,0.0,0.0,-2.529066,5.5998,0.0,1430
2017-02-12 04:45:00,0.0,-2.166933,-0.8333329999999999,-66.3333068,39.8,0.0,0.0,-2.535733,5.589533,0.0,1430
2017-02-12 05:00:00,0.0,-2.204666,-0.82,-64.06933224,39.066666,0.0,0.0,-2.552333,5.620333,0.0,1430
2017-02-12 05:15:00,0.0,-2.2762,-0.846666,-65.814169271112,38.866666,0.0,0.0,-2.622533,5.640866,0.0,1430
