measured_on,ac_power__5074,ambient_temp__5042,dc_current__5076,dc_power__5077,dc_voltage__5075,kwh_gross__5045,kwh_net__5046,module_temp__5043,poa_irradiance__5041,pr__5047,system_id
2017-03-01 00:00:00,0.0,-5.4646,-0.853333,-9.443551297778,5.533333,0.0,0.0,-8.898666,6.5814,0.0,1430
2017-03-01 00:15:00,0.0,-6.047266,-0.866666,-9.3599928,5.4,0.0,0.0,-10.106266,6.7038,0.0,1430
2017-03-01 00:30:00,0.0,-5.3262,-0.873333,-10.945772435556,6.266666,0.0,0.0,-10.098666,6.7748,0.0,1430
2017-03-01 00:45:00,0.0,-4.918,-0.873333,-8.966218217777998,5.133333,0.0,0.0,-10.223933,6.79,0.0,1430
2017-03-01 01:00:00,0.0,-4.2168,-0.873333,-8.73333,5.0,0.0,0.0,-8.365465999999998,6.764666,0.0,1430
2017-03-01 01:15:00,0.0,-4.049,-0.893333,-8.93333,5.0,0.0,0.0,-7.617133,6.637466,0.0,1430
2017-03-01 01:30:00,0.0,-4.170466,-0.893333,-9.409773075556,5.266666,0.0,0.0,-7.414733,6.550866,0.0,1430
2017-03-01 01:45:00,0.0,-5.035333,-0.8599999999999999,-8.599999999999998,5.0,0.0,0.0,-9.5806,6.5306,0.0,1430
2017-03-01 02:00:00,0.0,-4.522533,-0.873333,-8.73333,5.0,0.0,-1.0,-9.085400000000002,6.5916,,1430
2017-03-01 02:15:00,0.0,-4.903266,-0.873333,-9.7813296,5.6,0.0,0.0,-10.092466,6.663,0.0,1430
2017-03-01 02:30:00,0.0,-4.6164,-0.886666,-10.2853256,5.8,0.0,0.0,-9.4344,6.6936,0.0,1430
2017-03-01 02:45:00,0.0,-4.3554,-0.9,-9.36,5.2,0.0,0.0,-8.247866,6.6324,0.0,1430
2017-03-01 03:00:00,0.0,-4.7048,-0.88,-9.26933216,5.266666,0.0,0.0,-8.137399999999998,6.6324,0.0,1430
2017-03-01 03:15:00,0.0,-4.1148,-0.886666,-8.866659999999998,5.0,0.0,0.0,-6.563466,6.5458,0.0,1430
2017-03-01 03:30:00,0.0,-4.082,-0.8,-8.0,5.0,0.0,0.0,-5.7215,6.485,0.0,1430
2017-03-01 03:45:00,0.0,-4.677066,-0.873333,-9.664884617778,5.533333,0.0,0.0,-6.822466,6.474866,0.0,1430
2017-03-01 04:00:00,0.0,-4.682733,-0.88,-9.62133216,5.466666,0.0,0.0,-6.404333,6.490066,0.0,1430
2017-03-01 04:15:00,0.0,-4.5228,-0.873333,-9.199106435556,5.266666,0.0,0.0,-6.244333,6.485,0.0,1430
2017-03-01 04:30:00,0.0,-4.683666,-0.886666,-10.048880151112,5.666666,0.0,0.0,-6.667866,6.485,0.0,1430
2017-03-01 04:45:00,0.0,-4.726866,-0.886666,-9.694213751112,5.466666,0.0,-1.0,-6.338466,6.485,,1430
2017-03-01 05:00:00,0.0,-4.6718,-0.88,-10.208,5.8,0.0,0.0,-6.057066,6.485,0.0,1430
2017-03-01 05:15:00,0.0,-4.6906,-0.88,-10.56,6.0,0.0,0.0,-5.8752,6.485,0.0,1430
2017-03-01 05:30:00,0.0,-4.7944,-0.866666,-18.0266528,10.4,0.0,0.0,-6.243,6.485,0.0,1430
2017-03-01 05:45:00,0.0,-4.828133,-0.8599999999999999,-100.33333276,58.333333,0.0,0.0,-6.741333,6.485,0.0,1430
2017-03-01 06:00:00,0.0,-5.273066,-0.946666,-448.719684,237.0,0.0,0.0,-8.425599999999998,6.6374,0.0,1430
2017-03-01 06:15:00,0.0,-5.175133,-0.986666,-1111.24902627556,563.133333,0.0,0.0,-9.317266,8.809466,0.0,1430
2017-03-01 06:30:00,0.0,-4.6194,-1.006666,-1589.3242808,789.4,0.0,0.0,-9.6272,35.888733,0.0,1430
2017-03-01 06:45:00,11.526666,-4.447066,16.486666,24639.871870551095,747.266666,0.0,-1.0,-8.2588,111.119733,,1430
2017-03-01 07:00:00,40.993333,-3.771266,55.073333,82066.60920763561,745.066666,5.0,5.0,-4.649133,206.4362,0.2497377753358973,1430
2017-03-01 07:15:00,78.293333,-3.285266,101.5,158773.066599,782.133333,17.0,17.0,-0.302533,317.545533,0.4570506788546847,1430
2017-03-01 07:30:00,123.28,-2.6654,161.753333,251192.142377796,776.466666,38.0,38.0,4.804266,431.594866,0.6641731044849164,1430
2017-03-01 07:45:00,166.046666,-1.899,221.146666,339297.957940836,767.133333,59.0,59.0,9.4652,547.17,0.7587058278895119,1430
2017-03-01 08:00:00,208.673333,-1.376133,281.553333,426947.4741612,758.2,81.0,81.0,13.168733,668.477533,0.8215926726105347,1430
2017-03-01 08:15:00,245.886666,-1.3442,337.746666,503287.564778471,745.066666,101.0,101.0,15.487533,782.4248659999998,0.838557017725933,1430
2017-03-01 08:30:00,267.166666,0.0366659999999999,369.813333,547471.6581732,740.2,122.0,122.0,18.888866,822.596266,0.8653893897586131,1430
2017-03-01 08:45:00,273.346666,-0.2883999999999999,381.48,560826.46349136,735.066666,132.0,132.0,22.6528,844.156933,0.890592108814163,1430
2017-03-01 09:00:00,279.96,0.0224,386.793333,574310.7408384,742.4,136.0,136.0,18.765533,852.096533,0.8941485864562788,1430
2017-03-01 09:15:00,284.066666,0.132466,389.46,583151.43948072,748.6666659999999,138.0,138.0,15.584066,854.268333,0.8988471308539047,1430
2017-03-01 09:30:00,282.233333,0.5361329999999999,386.293333,579388.493464738,749.9333329999998,141.0,141.0,16.139733,845.9828659999998,0.9160424368028168,1430
2017-03-01 09:45:00,278.88,0.7733999999999999,381.893333,573094.594800738,750.333333,140.0,140.0,15.0658,829.7729329999999,0.9184603979557696,1430
2017-03-01 10:00:00,273.0,1.179,375.326666,560387.733865516,746.5333329999999,137.0,137.0,16.472333,813.1204659999999,0.9163389250073574,1430
2017-03-01 10:15:00,267.6,1.6568,368.313333,548934.1915032,745.2,135.0,135.0,17.573933,796.5902,0.9214576777901397,1430
2017-03-01 10:30:00,263.64,1.878533,361.993333,540528.4448356,746.6,133.0,133.0,16.4276,781.494,0.9266420026614832,1430
