time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-07-04 22:00,0.0,12.69,7.74,89.0,9960.0,-999.0,2024-07-05
2024-07-04 23:00,0.0,12.38,7.28,87.46,9965.0,-999.0,2024-07-05
2024-07-05 00:00,0.0,11.83,6.49,85.69,9969.0,-999.0,2024-07-05
2024-07-05 01:00,0.0,11.75,5.82,83.86,9972.0,-999.0,2024-07-05
2024-07-05 02:00,0.0,11.55,5.2,82.9,9975.0,-999.0,2024-07-05
2024-07-05 03:00,0.0,11.26,4.9,82.28,9979.0,-999.0,2024-07-05
2024-07-05 04:00,0.0,10.91,4.4,82.3,9984.0,-999.0,2024-07-05
2024-07-05 05:00,0.0,10.58,3.95,82.69,9990.0,-999.0,2024-07-05
2024-07-05 06:00,0.0,10.06,3.6,82.32,9997.0,-999.0,2024-07-05
2024-07-05 07:00,78.15,10.59,3.23,81.87,10004.0,0.22,2024-07-05
2024-07-05 08:00,248.0,11.55,3.38,77.69,10010.0,0.18,2024-07-05
2024-07-05 09:00,397.88,12.15,3.76,71.23,10018.0,0.17,2024-07-05
2024-07-05 10:00,503.42,12.8,3.76,65.67,10019.0,0.16,2024-07-05
2024-07-05 11:00,551.03,13.29,3.74,62.74,10017.0,0.15,2024-07-05
2024-07-05 12:00,540.1,13.63,2.99,61.33,10011.0,0.15,2024-07-05
2024-07-05 13:00,466.45,13.74,1.23,59.72,10001.0,0.15,2024-07-05
2024-07-05 14:00,348.88,13.7,0.38,58.41,9995.0,0.16,2024-07-05
2024-07-05 15:00,192.32,13.3,1.01,62.47,9997.0,0.18,2024-07-05
2024-07-05 16:00,34.05,11.54,1.67,71.57,10002.0,0.21,2024-07-05
2024-07-05 17:00,0.0,10.6,1.49,71.49,10008.0,-999.0,2024-07-05
2024-07-05 18:00,0.0,10.67,0.39,69.54,10009.0,-999.0,2024-07-05
2024-07-05 19:00,0.0,9.81,1.09,73.64,10006.0,-999.0,2024-07-05
2024-07-05 20:00,0.0,8.92,1.79,78.44,10002.0,-999.0,2024-07-05
2024-07-05 21:00,0.0,8.37,2.09,81.08,9997.0,-999.0,2024-07-05
