time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-01-25 22:00,0.0,18.75,0.76,74.86,9893.0,-999.0,2024-01-26
2024-01-25 23:00,0.0,18.17,0.28,77.46,9891.0,-999.0,2024-01-26
2024-01-26 00:00,0.0,17.76,0.78,78.29,9886.0,-999.0,2024-01-26
2024-01-26 01:00,0.0,17.43,1.1,79.21,9883.0,-999.0,2024-01-26
2024-01-26 02:00,0.0,17.06,1.37,80.93,9883.0,-999.0,2024-01-26
2024-01-26 03:00,0.0,16.6,1.61,83.93,9886.0,-999.0,2024-01-26
2024-01-26 04:00,0.0,16.22,1.64,86.96,9890.0,-999.0,2024-01-26
2024-01-26 05:00,36.83,17.25,1.63,83.01,9896.0,0.2,2024-01-26
2024-01-26 06:00,207.25,19.19,1.65,77.11,9899.0,0.18,2024-01-26
2024-01-26 07:00,398.88,21.3,0.91,67.18,9898.0,0.16,2024-01-26
2024-01-26 08:00,551.53,23.66,0.96,54.59,9895.0,0.16,2024-01-26
2024-01-26 09:00,838.38,25.5,1.53,45.52,9893.0,0.15,2024-01-26
2024-01-26 10:00,992.83,26.78,2.31,40.41,9892.0,0.15,2024-01-26
2024-01-26 11:00,1044.55,27.46,3.15,38.35,9889.0,0.15,2024-01-26
2024-01-26 12:00,1038.88,27.64,3.94,37.98,9885.0,0.15,2024-01-26
2024-01-26 13:00,979.62,27.47,4.59,38.9,9881.0,0.15,2024-01-26
2024-01-26 14:00,695.55,26.77,5.03,41.58,9877.0,0.16,2024-01-26
2024-01-26 15:00,444.4,25.7,5.15,45.91,9878.0,0.16,2024-01-26
2024-01-26 16:00,248.05,24.51,5.21,51.18,9879.0,0.16,2024-01-26
2024-01-26 17:00,118.8,23.26,5.08,57.21,9881.0,0.16,2024-01-26
2024-01-26 18:00,20.73,21.89,4.88,65.41,9882.0,0.17,2024-01-26
2024-01-26 19:00,0.0,20.77,4.76,73.26,9883.0,-999.0,2024-01-26
2024-01-26 20:00,0.0,19.77,4.36,79.53,9888.0,-999.0,2024-01-26
2024-01-26 21:00,0.0,19.23,4.25,82.61,9890.0,-999.0,2024-01-26
