time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-05-01 22:00,0.0,13.5,2.17,88.43,9894.0,-999.0,2024-05-02
2024-05-01 23:00,0.0,13.47,2.05,86.01,9889.0,-999.0,2024-05-02
2024-05-02 00:00,0.0,13.39,2.11,82.51,9883.0,-999.0,2024-05-02
2024-05-02 01:00,0.0,13.24,2.39,79.35,9878.0,-999.0,2024-05-02
2024-05-02 02:00,0.0,13.06,2.69,76.81,9874.0,-999.0,2024-05-02
2024-05-02 03:00,0.0,12.9,2.99,75.18,9872.0,-999.0,2024-05-02
2024-05-02 04:00,0.0,12.77,3.13,74.24,9875.0,-999.0,2024-05-02
2024-05-02 05:00,0.0,12.56,3.17,73.68,9880.0,-999.0,2024-05-02
2024-05-02 06:00,16.55,12.51,3.26,72.33,9884.0,0.24,2024-05-02
2024-05-02 07:00,170.45,15.22,3.11,64.86,9888.0,0.2,2024-05-02
2024-05-02 08:00,352.38,17.97,4.09,52.02,9890.0,0.18,2024-05-02
2024-05-02 09:00,502.48,20.17,5.14,45.14,9888.0,0.17,2024-05-02
2024-05-02 10:00,603.05,21.87,5.98,41.49,9885.0,0.16,2024-05-02
2024-05-02 11:00,644.15,23.05,6.49,39.78,9883.0,0.16,2024-05-02
2024-05-02 12:00,622.55,23.66,6.64,39.19,9880.0,0.15,2024-05-02
2024-05-02 13:00,517.53,23.63,6.43,39.9,9878.0,0.16,2024-05-02
2024-05-02 14:00,397.83,23.01,5.87,42.04,9879.0,0.17,2024-05-02
2024-05-02 15:00,231.95,21.74,4.87,46.4,9882.0,0.18,2024-05-02
2024-05-02 16:00,57.65,19.24,2.89,59.11,9887.0,0.21,2024-05-02
2024-05-02 17:00,0.0,16.96,1.96,68.4,9890.0,-999.0,2024-05-02
2024-05-02 18:00,0.0,16.73,1.14,68.62,9895.0,-999.0,2024-05-02
2024-05-02 19:00,0.0,16.65,0.25,68.32,9897.0,-999.0,2024-05-02
2024-05-02 20:00,0.0,16.17,0.81,68.73,9898.0,-999.0,2024-05-02
2024-05-02 21:00,0.0,15.53,1.69,70.52,9896.0,-999.0,2024-05-02
