time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-07-16 22:00,0.0,9.89,3.7,96.98,9943.0,-999.0,2024-07-16 22:00:00+00:00,2024-07-17 00:00:00+02:00,2024-07-17,2024,7,17,0
2024-07-16 23:00,0.0,9.96,3.71,96.5,9940.0,-999.0,2024-07-16 23:00:00+00:00,2024-07-17 01:00:00+02:00,2024-07-17,2024,7,17,1
2024-07-17 00:00,0.0,10.1,3.73,96.2,9937.0,-999.0,2024-07-17 00:00:00+00:00,2024-07-17 02:00:00+02:00,2024-07-17,2024,7,17,2
2024-07-17 01:00,0.0,10.18,3.69,95.9,9932.0,-999.0,2024-07-17 01:00:00+00:00,2024-07-17 03:00:00+02:00,2024-07-17,2024,7,17,3
2024-07-17 02:00,0.0,9.91,3.6,95.92,9928.0,-999.0,2024-07-17 02:00:00+00:00,2024-07-17 04:00:00+02:00,2024-07-17,2024,7,17,4
2024-07-17 03:00,0.0,9.84,3.51,96.07,9924.0,-999.0,2024-07-17 03:00:00+00:00,2024-07-17 05:00:00+02:00,2024-07-17,2024,7,17,5
2024-07-17 04:00,0.0,9.8,3.7,95.9,9919.0,-999.0,2024-07-17 04:00:00+00:00,2024-07-17 06:00:00+02:00,2024-07-17,2024,7,17,6
2024-07-17 05:00,0.0,9.77,3.97,95.83,9920.0,-999.0,2024-07-17 05:00:00+00:00,2024-07-17 07:00:00+02:00,2024-07-17,2024,7,17,7
2024-07-17 06:00,0.0,9.74,4.26,95.91,9921.0,-999.0,2024-07-17 06:00:00+00:00,2024-07-17 08:00:00+02:00,2024-07-17,2024,7,17,8
2024-07-17 07:00,63.03,10.09,4.82,94.99,9924.0,0.18,2024-07-17 07:00:00+00:00,2024-07-17 09:00:00+02:00,2024-07-17,2024,7,17,9
2024-07-17 08:00,176.18,10.58,5.51,93.81,9926.0,0.16,2024-07-17 08:00:00+00:00,2024-07-17 10:00:00+02:00,2024-07-17,2024,7,17,10
2024-07-17 09:00,278.0,10.99,5.89,92.5,9927.0,0.15,2024-07-17 09:00:00+00:00,2024-07-17 11:00:00+02:00,2024-07-17,2024,7,17,11
2024-07-17 10:00,353.83,11.39,6.29,91.57,9924.0,0.15,2024-07-17 10:00:00+00:00,2024-07-17 12:00:00+02:00,2024-07-17,2024,7,17,12
2024-07-17 11:00,327.85,11.95,7.31,89.11,9920.0,0.14,2024-07-17 11:00:00+00:00,2024-07-17 13:00:00+02:00,2024-07-17,2024,7,17,13
2024-07-17 12:00,381.92,12.37,7.55,86.38,9911.0,0.14,2024-07-17 12:00:00+00:00,2024-07-17 14:00:00+02:00,2024-07-17,2024,7,17,14
2024-07-17 13:00,291.9,12.25,7.17,87.25,9907.0,0.14,2024-07-17 13:00:00+00:00,2024-07-17 15:00:00+02:00,2024-07-17,2024,7,17,15
2024-07-17 14:00,220.07,12.32,7.14,87.26,9904.0,0.14,2024-07-17 14:00:00+00:00,2024-07-17 16:00:00+02:00,2024-07-17,2024,7,17,16
2024-07-17 15:00,121.55,12.14,6.57,88.29,9903.0,0.14,2024-07-17 15:00:00+00:00,2024-07-17 17:00:00+02:00,2024-07-17,2024,7,17,17
2024-07-17 16:00,25.5,11.33,5.54,92.57,9904.0,0.15,2024-07-17 16:00:00+00:00,2024-07-17 18:00:00+02:00,2024-07-17,2024,7,17,18
2024-07-17 17:00,0.0,10.76,5.26,94.94,9905.0,-999.0,2024-07-17 17:00:00+00:00,2024-07-17 19:00:00+02:00,2024-07-17,2024,7,17,19
2024-07-17 18:00,0.0,10.64,5.47,95.2,9904.0,-999.0,2024-07-17 18:00:00+00:00,2024-07-17 20:00:00+02:00,2024-07-17,2024,7,17,20
2024-07-17 19:00,0.0,10.56,5.81,95.48,9906.0,-999.0,2024-07-17 19:00:00+00:00,2024-07-17 21:00:00+02:00,2024-07-17,2024,7,17,21
2024-07-17 20:00,0.0,10.62,6.21,95.6,9908.0,-999.0,2024-07-17 20:00:00+00:00,2024-07-17 22:00:00+02:00,2024-07-17,2024,7,17,22
2024-07-17 21:00,0.0,10.66,6.69,95.6,9908.0,-999.0,2024-07-17 21:00:00+00:00,2024-07-17 23:00:00+02:00,2024-07-17,2024,7,17,23
