time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-11-02 22:00,0.0,14.07,1.52,94.35,9897.0,-999.0,2024-11-02 22:00:00+00:00,2024-11-03 00:00:00+02:00,2024-11-03,2024,11,3,0
2024-11-02 23:00,0.0,13.66,1.66,95.18,9896.0,-999.0,2024-11-02 23:00:00+00:00,2024-11-03 01:00:00+02:00,2024-11-03,2024,11,3,1
2024-11-03 00:00,0.0,13.21,1.85,96.54,9894.0,-999.0,2024-11-03 00:00:00+00:00,2024-11-03 02:00:00+02:00,2024-11-03,2024,11,3,2
2024-11-03 01:00,0.0,12.95,1.98,97.35,9894.0,-999.0,2024-11-03 01:00:00+00:00,2024-11-03 03:00:00+02:00,2024-11-03,2024,11,3,3
2024-11-03 02:00,0.0,12.75,2.1,97.26,9895.0,-999.0,2024-11-03 02:00:00+00:00,2024-11-03 04:00:00+02:00,2024-11-03,2024,11,3,4
2024-11-03 03:00,0.0,12.57,2.2,97.05,9900.0,-999.0,2024-11-03 03:00:00+00:00,2024-11-03 05:00:00+02:00,2024-11-03,2024,11,3,5
2024-11-03 04:00,0.0,12.46,2.39,97.25,9904.0,-999.0,2024-11-03 04:00:00+00:00,2024-11-03 06:00:00+02:00,2024-11-03,2024,11,3,6
2024-11-03 05:00,91.55,12.93,2.69,95.71,9908.0,0.18,2024-11-03 05:00:00+00:00,2024-11-03 07:00:00+02:00,2024-11-03,2024,11,3,7
2024-11-03 06:00,291.4,13.79,3.58,93.04,9913.0,0.16,2024-11-03 06:00:00+00:00,2024-11-03 08:00:00+02:00,2024-11-03,2024,11,3,8
2024-11-03 07:00,496.75,14.88,4.24,90.1,9918.0,0.15,2024-11-03 07:00:00+00:00,2024-11-03 09:00:00+02:00,2024-11-03,2024,11,3,9
2024-11-03 08:00,719.7,15.96,4.78,84.34,9920.0,0.14,2024-11-03 08:00:00+00:00,2024-11-03 10:00:00+02:00,2024-11-03,2024,11,3,10
2024-11-03 09:00,898.38,16.83,5.35,79.47,9921.0,0.14,2024-11-03 09:00:00+00:00,2024-11-03 11:00:00+02:00,2024-11-03,2024,11,3,11
2024-11-03 10:00,985.47,17.34,5.91,76.38,9921.0,0.14,2024-11-03 10:00:00+00:00,2024-11-03 12:00:00+02:00,2024-11-03,2024,11,3,12
2024-11-03 11:00,1028.18,17.47,6.36,74.96,9919.0,0.13,2024-11-03 11:00:00+00:00,2024-11-03 13:00:00+02:00,2024-11-03,2024,11,3,13
2024-11-03 12:00,962.78,17.57,6.79,74.01,9919.0,0.14,2024-11-03 12:00:00+00:00,2024-11-03 14:00:00+02:00,2024-11-03,2024,11,3,14
2024-11-03 13:00,779.72,17.59,7.13,73.69,9919.0,0.14,2024-11-03 13:00:00+00:00,2024-11-03 15:00:00+02:00,2024-11-03,2024,11,3,15
2024-11-03 14:00,695.4,17.33,7.24,73.95,9920.0,0.14,2024-11-03 14:00:00+00:00,2024-11-03 16:00:00+02:00,2024-11-03,2024,11,3,16
2024-11-03 15:00,497.4,16.71,7.0,75.86,9922.0,0.15,2024-11-03 15:00:00+00:00,2024-11-03 17:00:00+02:00,2024-11-03,2024,11,3,17
2024-11-03 16:00,278.02,15.73,6.4,79.64,9926.0,0.16,2024-11-03 16:00:00+00:00,2024-11-03 18:00:00+02:00,2024-11-03,2024,11,3,18
2024-11-03 17:00,84.62,14.68,5.72,84.12,9932.0,0.16,2024-11-03 17:00:00+00:00,2024-11-03 19:00:00+02:00,2024-11-03,2024,11,3,19
2024-11-03 18:00,0.0,13.93,5.29,86.07,9938.0,-999.0,2024-11-03 18:00:00+00:00,2024-11-03 20:00:00+02:00,2024-11-03,2024,11,3,20
2024-11-03 19:00,0.0,13.42,5.13,85.03,9945.0,-999.0,2024-11-03 19:00:00+00:00,2024-11-03 21:00:00+02:00,2024-11-03,2024,11,3,21
2024-11-03 20:00,0.0,12.92,4.78,84.63,9953.0,-999.0,2024-11-03 20:00:00+00:00,2024-11-03 22:00:00+02:00,2024-11-03,2024,11,3,22
2024-11-03 21:00,0.0,12.42,4.57,84.86,9958.0,-999.0,2024-11-03 21:00:00+00:00,2024-11-03 23:00:00+02:00,2024-11-03,2024,11,3,23
