deg,E_kWh
-24,1.0858732523059242
-22,1.0979282646278556
-20,1.1091470217961836
-18,1.1195279673830014
-16,1.129402975098525
-14,1.1386312622541044
-12,1.146929268803396
-10,1.1542968067082642
-8,1.1607352751535431
-6,1.1753972255222902
-4,1.1971408550322067
-2,1.2175832886734188
0,1.2364386679942063
2,1.2540167602510683
4,1.2700859313337591
6,1.284666308214601
8,1.2983370528699103
10,1.3106941686167477
12,1.3216117514699326
14,1.3310992748429766
16,1.3391695244806578
18,1.3463725458478786
20,1.3530340520699613
22,1.3583209088113148
24,1.3616336452585316
