deg,E_kWh
-24,1.4806590535698738
-22,1.4955133937775025
-20,1.5138429437640983
-18,1.532202867013736
-16,1.5496287362479764
-14,1.566815288720109
-12,1.5825931485527092
-10,1.5969642317862063
-8,1.6099312810389506
-6,1.621497591805211
-4,1.6316667894321626
-2,1.6404426434084998
0,1.647891597298322
2,1.6536553877154732
4,1.6581423716147665
6,1.6613545962652416
8,1.6632937573094395
10,1.6644694606745387
12,1.6649052036627583
14,1.6648942190350948
16,1.6638965126949785
18,1.661913204343579
20,1.6589451410609026
22,1.654992896273609
24,1.6503730882376344
