deg,E_kWh
-24,1.4168036695415032
-22,1.4301108077145714
-20,1.442527295011193
-18,1.4547975911455784
-16,1.466476835957221
-14,1.477154501185811
-12,1.4870454219470157
-10,1.4964702062520678
-8,1.5047789180041509
-6,1.5119756270831266
-4,1.5180639122888038
-2,1.5231777347353441
0,1.527133660483566
2,1.5296921827835235
4,1.5313780767006369
6,1.5322078406892112
8,1.5320342971043341
10,1.531085095139666
12,1.5295180375317372
14,1.5272923728611285
16,1.5241852717041955
18,1.520727354362121
20,1.5169943106639905
22,1.5124829582436505
24,1.5071868148979048
