deg,E_kWh
-24,1.0009467323001517
-22,1.009228688955109
-20,1.0168376502682461
-18,1.0313094936796994
-16,1.0455410280262543
-14,1.0589144975821458
-12,1.0722147241296438
-10,1.084520945603692
-8,1.0958535604008939
-6,1.1066116850069447
-4,1.1162349365577442
-2,1.1247214358881206
0,1.1320702629371726
2,1.1379830009298626
4,1.142942663204782
6,1.1469499639771692
8,1.150324454361585
10,1.1529803521491695
12,1.1549861535589252
14,1.1566649168249745
16,1.1576359980970774
18,1.157903139538073
20,1.1574704489597258
22,1.156342366316685
24,1.1545236349171955
