deg,E_kWh
-24,0.4378982504706347
-22,0.43704679505344757
-20,0.43604244733370134
-18,0.4348849599825793
-16,0.4335749723000301
-14,0.43209872258466875
-12,0.43045482674562585
-10,0.4291233825709609
-8,0.4279438702137876
-6,0.4265768920445541
-4,0.4250236764450664
-2,0.4232845355401455
0,0.4213446514471065
2,0.41945340610409254
4,0.4177837648855514
6,0.4159386242986881
8,0.4141655734735665
10,0.41231424837926683
12,0.41030071593135625
14,0.4083271862541808
16,0.4066741859396229
18,0.40514222746290024
20,0.4035185070858192
22,0.40226037473936055
24,0.4008982297005353
