deg,E_kWh
-24,0.9995584116953015
-22,1.0080599870612932
-20,1.0158771636787687
-18,1.0278343915378714
-16,1.0424926321602017
-14,1.0562939350769414
-12,1.0698863275870325
-10,1.0826323573064998
-8,1.0945161219052406
-6,1.1057182416821674
-4,1.1157717866372965
-2,1.1246722607215947
0,1.1324163836476173
2,1.1386599231100827
4,1.1439369346784536
6,1.1482466087075962
8,1.1518695159413865
10,1.1548241145973315
12,1.157241088105229
14,1.159222647230226
16,1.1604826332451539
18,1.1610240173976454
20,1.160850277818373
22,1.1599653660379885
24,1.1583736775956284
