deg,E_kWh
-24,1.0142601948958068
-22,1.0276548244446466
-20,1.0402144939789737
-18,1.052394547690527
-16,1.0639640307550038
-14,1.0746010480557857
-12,1.084305674953532
-10,1.0930787075134603
-8,1.1009230370464549
-6,1.107839420482906
-4,1.1138293413019174
-2,1.1189676494028784
0,1.1231646875839065
2,1.1261961658734017
4,1.128590636167847
6,1.1304440782325729
8,1.1314740178500833
10,1.1316841117590875
12,1.1310781714683262
14,1.1296601373812623
16,1.1276996935785755
18,1.1261258508362175
20,1.1239168465822063
22,1.1219021434193652
24,1.1196306988509395
