deg,E_kWh
-24,1.5928078320406103
-22,1.6123991448675135
-20,1.6308298815527278
-18,1.6493321008847333
-16,1.666501811060202
-14,1.6823508470368207
-12,1.6970371830982924
-10,1.7109217589290882
-8,1.7234184121122993
-6,1.734535835305563
-4,1.7442872927209274
-2,1.7528619173030964
0,1.7599920708913126
2,1.7653045484668706
4,1.7695958094553181
6,1.7727399046375263
8,1.774711757687834
10,1.7756234308606804
12,1.7758664740347139
14,1.7751748993763936
16,1.7735429204291713
18,1.7716739157902401
20,1.7691994252765746
22,1.7658601627066892
24,1.761651804012795
