deg,E_kWh
-24,1.6361705939375881
-22,1.6480382741486284
-20,1.6595995605837928
-18,1.6716487316838797
-16,1.6825895660535723
-14,1.6924324129697959
-12,1.7011869570354718
-10,1.7128611957139765
-8,1.726724576678616
-6,1.7396810791539765
-4,1.7516364328640095
-2,1.7622104735290762
0,1.7713960241963054
2,1.779437418715641
4,1.7862847047756099
6,1.791947118475791
8,1.7964175375397713
10,1.799688210871989
12,1.8017506366644684
14,1.8033295748916087
16,1.803965894773247
18,1.803773362413222
20,1.8029053797032526
22,1.8011835352918646
24,1.7985961292757484
