deg,E_kWh
-24,1.5993579658491461
-22,1.6157204156040053
-20,1.630931962130767
-18,1.6454056387296672
-16,1.659217726276457
-14,1.6718296051741581
-12,1.6834706567527247
-10,1.6944171009755162
-8,1.7041053870216052
-6,1.712554461436793
-4,1.719781603754045
-2,1.725881824607994
0,1.730758859867343
2,1.734164331649986
4,1.7365915247546346
6,1.738332265303875
8,1.7390856353908957
10,1.738853276971687
12,1.737751844261526
14,1.736104413349024
16,1.7335741116195515
18,1.730554407131736
20,1.7275035131928522
22,1.7236894695995155
24,1.719103423574489
