deg,E_kWh
-24,1.360335546645313
-22,1.3756709467894415
-20,1.3899605347698074
-18,1.4032101090063656
-16,1.4154258243931244
-14,1.426614053196855
-12,1.4367812563300582
-10,1.4465306946956622
-8,1.4552798556958573
-6,1.4645793581849311
-4,1.4856114070567208
-2,1.5050329959884827
0,1.522772215874038
2,1.5389378234968758
4,1.5535274676038862
6,1.5666029602858442
8,1.578157044000637
10,1.5881870524794535
12,1.5966938022833792
14,1.60404345114542
16,1.6104152553082787
18,1.6159703798290517
20,1.6208019728164056
22,1.6240524316043778
24,1.6254051565049277
