deg,E_kWh
-24,1.770699380576481
-22,1.7837431465530762
-20,1.7960225137365868
-18,1.8112045437508704
-16,1.8309613758677015
-14,1.8493503858683644
-12,1.866370436426786
-10,1.8821578385460604
-8,1.8971135920407587
-6,1.9105709994248594
-4,1.9227129689249478
-2,1.9334090002455158
0,1.9424885305130262
2,1.9493824912817417
4,1.9549251536100198
6,1.9591278081777463
8,1.9622952682174213
10,1.96425913174263
12,1.9655084666643123
14,1.9658413747974979
16,1.9650885620602612
18,1.9632446864668973
20,1.9604080844183267
22,1.9577470245587354
24,1.9541342267840642
