deg,E_kWh
-24,1.0549256391960207
-22,1.063744361583664
-20,1.0744038822149964
-18,1.0897844837008877
-16,1.104273204818152
-14,1.1178476885732154
-12,1.130499299736918
-10,1.1426327764788524
-8,1.1546173713932852
-6,1.1654204627013336
-4,1.1750399226171564
-2,1.1834746152607323
0,1.1907242393643034
2,1.1965038938145822
4,1.20130430341299
6,1.205126494877919
8,1.2079719977798755
10,1.2098428083977595
12,1.211587696953675
14,1.213002625236286
16,1.2136963432401466
18,1.2136725377118551
20,1.2129351953883916
22,1.2114885727513327
24,1.2093371708961607
