deg,E_kWh
-24,2.0292448721362444
-22,2.042146200472939
-20,2.0548274352777804
-18,2.067105381977034
-16,2.085534378544833
-14,2.105493389431451
-12,2.123858075583487
-10,2.1406332104739607
-8,2.1560991608872593
-6,2.17021735956009
-4,2.1828237365654215
-2,2.1937491250750045
0,2.2028288324982626
2,2.209681000761932
4,2.2150540293521472
6,2.219000696398481
8,2.221503730147795
10,2.2225601623855047
12,2.222439642188213
14,2.2214845280346998
16,2.21991155185027
18,2.2174554087478784
20,2.2140311705553923
22,2.2094514845523423
24,2.203705903209675
