deg,E_kWh
-24,0.9286920722693182
-22,0.941358351326797
-20,0.9532886348198096
-18,0.964475790003897
-16,0.974914080108566
-14,0.9850791329942883
-12,0.9944601762422798
-10,1.002992973618163
-8,1.0106756062839308
-6,1.0175157217436048
-4,1.0237266887880991
-2,1.028983283983476
0,1.0332839892350294
2,1.0367542970938075
4,1.0394375977339816
6,1.0413358183046477
8,1.04303973317727
10,1.044066968126759
12,1.0443554793093504
14,1.044014171335783
16,1.0438544385163067
18,1.0431167678036084
20,1.041805273186546
22,1.039924354441249
24,1.0375461777206565
