deg,E_kWh
-24,1.8425615542950622
-22,1.8561500997971874
-20,1.8696791778073056
-18,1.8842617431807225
-16,1.8975316730580134
-14,1.9094992703115166
-12,1.9201743885906661
-10,1.9311311805049498
-8,1.9474201318730353
-6,1.9627950861050862
-4,1.9771204704199312
-2,1.9897470591425135
0,2.0006645272885306
2,2.010164582880025
4,2.018198503777275
6,2.0247285028737405
8,2.0297475673786374
10,2.033248678812116
12,2.035224650527229
14,2.0365053865401954
16,2.0372587380987457
18,2.036066224433755
20,2.0338307296815406
22,2.0304735630201463
24,2.025986047211708
