deg,E_kWh
-24,0.691307227153021
-22,0.6920431240780166
-20,0.6925383142679873
-18,0.692725766101669
-16,0.6926053648314596
-14,0.692295411672156
-12,0.6916476942241369
-10,0.6926869284560567
-8,0.6948212465386095
-6,0.6965732366506107
-4,0.6979374383818139
-2,0.6989539824771088
0,0.6995081968732471
2,0.6999856215462262
4,0.7003305598262068
6,0.7005545488886242
8,0.7003584787396503
10,0.7000574287980346
12,0.6997746057387672
14,0.6992284942641821
16,0.6983368464654214
18,0.6971000592115115
20,0.6961544192696055
22,0.6953676657686959
24,0.6942985847845161
