deg,E_kWh
-24,1.5013525318762786
-22,1.5126626980791407
-20,1.5242829742440551
-18,1.5348511961069438
-16,1.5443618684313882
-14,1.555899097031536
-12,1.569875859385607
-10,1.5827024062924298
-8,1.5949395990409398
-6,1.605930235658815
-4,1.6158640129194144
-2,1.6243678831721646
0,1.6314369483270765
2,1.6367789770051182
4,1.640866454484507
6,1.643888672281426
8,1.645917112347906
10,1.6474421711409077
12,1.647963838950951
14,1.6474788666511024
16,1.645984159124465
18,1.6434767698691217
20,1.640650659396456
22,1.6375606305403683
24,1.634899578583728
