deg,E_kWh
-24,1.32212976034279
-22,1.3398735109126136
-20,1.3565261086429363
-18,1.3720964285513837
-16,1.3865945864235956
-14,1.3999998278336694
-12,1.4132039085114074
-10,1.4252942332741323
-8,1.4361594657958159
-6,1.4459111325426908
-4,1.4547356489611656
-2,1.462206435086818
0,1.4683224960184766
2,1.47293503328533
4,1.4764416616096483
6,1.4788465245903204
8,1.480153687086223
10,1.4805440014622528
12,1.4803236672285587
14,1.4791474039942731
16,1.4772353724594987
18,1.475272884389919
20,1.4725230635309816
22,1.4689895488297038
24,1.4646758405749158
