deg,E_kWh
-24,1.8874654924101375
-22,1.9033237587323502
-20,1.9237005700702285
-18,1.9427195467132166
-16,1.9607692234964789
-14,1.9780995086307194
-12,1.9939561893249829
-10,2.0086802643024475
-8,2.0220907467841274
-6,2.033951310209879
-4,2.04427070975091
-2,2.053111894456855
0,2.0604312247795598
2,2.065796371756691
4,2.0697792667354276
6,2.072577275661479
8,2.0742265256947054
10,2.07480215357699
12,2.0747577498047147
14,2.073583032366696
16,2.071267573511067
18,2.068418701189753
20,2.0650970564303863
22,2.060750610085541
24,2.056785351989587
