deg,E_kWh
-24,1.539503167369417
-22,1.5586375383606959
-20,1.576654359548766
-18,1.594406085020522
-16,1.6116725310944067
-14,1.628710003478933
-12,1.6443067374884204
-10,1.6584649360908004
-8,1.6711876078167975
-6,1.6824783498756575
-4,1.6923411637151518
-2,1.7007802961337446
0,1.707848114990512
2,1.7133854576191285
4,1.717584864749781
6,1.7204491994953166
8,1.7219812343049348
10,1.7225127251744115
12,1.7224024304026153
14,1.7219897101274044
16,1.7205187591457656
18,1.7179920768726478
20,1.7144120321551086
22,1.709780859935603
24,1.7041006671409682
