deg,E_kWh
-24,2.108897723574666
-22,2.1247022212442506
-20,2.1471975702762447
-18,2.1694158720151298
-16,2.190971937814436
-14,2.2113947558960545
-12,2.2300946192251048
-10,2.2473258179411206
-8,2.263326326528424
-6,2.277456550155098
-4,2.2897195538971253
-2,2.3002725084564952
0,2.308902181056963
2,2.315103178838444
4,2.3195719019881937
6,2.3225982104375076
8,2.3241135583858172
10,2.3240738584110807
12,2.3232954232816336
14,2.3211354816570533
16,2.317539329507451
18,2.3135398127096622
20,2.3086200802497077
22,2.3024281300538685
24,2.296392184668916
