deg,E_kWh
-24,0.5758436300436979
-22,0.5794469580077409
-20,0.5826776132558856
-18,0.585639680373115
-16,0.5906113333721713
-14,0.5989085251132731
-12,0.6067102609396459
-10,0.6140035614937056
-8,0.6207778018088228
-6,0.6270241437779118
-4,0.632768182915868
-2,0.6379442302246243
0,0.6425234295478929
2,0.6465079901095935
4,0.6500355120449595
6,0.6531032331084792
8,0.6557091201422861
10,0.6579508389400107
12,0.6603480936565633
14,0.6624033266720009
16,0.664116711370187
18,0.6655211442262697
20,0.6672100133524912
22,0.6685797484038556
24,0.6696316178210076
