deg,E_kWh
-24,1.3382059331734206
-22,1.352673206849669
-20,1.3661119856582755
-18,1.3785331716595137
-16,1.3899479312277847
-14,1.400367531192672
-12,1.4098273198949023
-10,1.4191113567160818
-8,1.4272964403969663
-6,1.4346389953682028
-4,1.441016550401654
-2,1.4461874387492515
0,1.450160212244435
2,1.4530673843365396
4,1.4549440930315887
6,1.4558512200765388
8,1.4557934586693606
10,1.4547746405904896
12,1.4527977162000012
14,1.4505199480785103
16,1.4476007487188873
18,1.4443677655138503
20,1.4407425853868807
22,1.4364204435178167
24,1.4307393553404169
