deg,E_kWh
-24,0.717536430360515
-22,0.7226656133807284
-20,0.7273181418233544
-18,0.7318094501382965
-16,0.7381908147358195
-14,0.7494176314987003
-12,0.7599428804698111
-10,0.7697513682192192
-8,0.7788313658142602
-6,0.7871737130166687
-4,0.7949112294575952
-2,0.8018397825015454
0,0.8079341696687387
2,0.8131508310207776
4,0.8177083951796048
6,0.8216057686074537
8,0.8248428190158411
10,0.8275698350497384
12,0.8301717592533268
14,0.8322414039474638
16,0.8337818031392175
18,0.8347966517867128
20,0.8360209086519184
22,0.8369583829962389
24,0.8374380148306272
