deg,E_kWh
-24,1.3173102967723953
-22,1.3328652039649023
-20,1.3473769080441884
-18,1.360847850006892
-16,1.3732812287807064
-14,1.3846808589263888
-12,1.3950510398246871
-10,1.4047476996555046
-8,1.4137627897415086
-6,1.422140826545317
-4,1.4292343850920306
-2,1.4350409930303272
0,1.439564104247825
2,1.4429631502248208
4,1.4452871668408047
6,1.4465727730697062
8,1.4468239289123257
10,1.4460443573706534
12,1.4442375213123033
14,1.441529022175906
16,1.4386162046135214
18,1.4357777700187584
20,1.4322774278894266
22,1.4280345714260638
24,1.4230516701600182
