deg,E_kWh
-24,1.4229492215245492
-22,1.4354333874179748
-20,1.4468880398504471
-18,1.457320947436627
-16,1.4667398351388279
-14,1.47515227728015
-12,1.4883422880739623
-10,1.5056433800452227
-8,1.5215536649469708
-6,1.5360581113246121
-4,1.5494169215301976
-2,1.5613103652186142
0,1.5716377433976774
2,1.5807605055270602
4,1.588430789602312
6,1.5947388593259384
8,1.598994585329637
10,1.6020773112290416
12,1.6039881625070298
14,1.6055694466754984
16,1.6062288089137464
18,1.6058427390887329
20,1.6051799294300053
22,1.6042165616387232
24,1.6023749842102115
