deg,E_kWh
-24,1.51866703359097
-22,1.5322023751539477
-20,1.5446456680271186
-18,1.5560160454003327
-16,1.5663321436089914
-14,1.5756119344992698
-12,1.5838725709358146
-10,1.5947523870463105
-8,1.614017836594585
-6,1.6324187012742275
-4,1.649113176332321
-2,1.6640929462186091
0,1.6773565087063556
2,1.6889066914658957
4,1.6989611186867037
6,1.7077233762857327
8,1.715028228974813
10,1.720885517726213
12,1.7250351368003336
14,1.7275954110855742
16,1.7288983433165952
18,1.7289516873530624
20,1.7298895341268221
22,1.729947233407696
24,1.7290516351222605
