deg,E_kWh
-24,1.6228366075761036
-22,1.6357272049279488
-20,1.6502427992511546
-18,1.6694384550226709
-16,1.6873076339763367
-14,1.7038470916356365
-12,1.7190477221859137
-10,1.7329093367353594
-8,1.7459814152590134
-6,1.7580732656319715
-4,1.7687296996690602
-2,1.7777505438419445
0,1.785138362027338
2,1.7906736999927042
4,1.7947720041181152
6,1.797898641862367
8,1.800193165426746
10,1.8013726715451752
12,1.8013904869649309
14,1.8002460872160673
16,1.797938704108827
18,1.7944673204042194
20,1.790907155445602
22,1.7878086669226085
24,1.784283402356572
