deg,E_kWh
-24,1.0267115072436608
-22,1.0348099984043888
-20,1.046605736876509
-18,1.0610999204704308
-16,1.074715541307477
-14,1.0874410416983715
-12,1.0992713869917103
-10,1.1105469538788324
-8,1.1216993114123692
-6,1.1317232352260957
-4,1.14061950433399
-2,1.1483896358146435
0,1.1550357275437924
2,1.160359772294427
4,1.1647504266252038
6,1.168210241911842
8,1.1707420634176164
10,1.1723489922864787
12,1.1737286610585065
14,1.1749171905351259
16,1.1754199786008535
18,1.1752412900883529
20,1.1743855213783791
22,1.1728571700493948
24,1.1706608103911085
